keyword,match_type,ad_group,priority,notes
simi valley to lax,exact,A1 · Simi to LAX ruta,1,Máxima intención — sabe origen y destino
simi valley to lax car service,phrase,A1 · Simi to LAX ruta,1,
simi valley to lax transportation,phrase,A1 · Simi to LAX ruta,1,
car service from simi valley to lax,phrase,A1 · Simi to LAX ruta,1,
ride from simi valley to lax,phrase,A1 · Simi to LAX ruta,1,
lax to simi valley car service,phrase,A1 · Simi to LAX ruta,1,Dirección inversa — la página ya existe en el sitio
private car to lax from simi valley,phrase,A1 · Simi to LAX ruta,1,
simi valley lax shuttle,phrase,A1 · Simi to LAX ruta,2,"Ojo: ""shuttle"" atrae buscadores de compartido/barato — vigilar search terms"
car service simi valley,exact,A2 · Simi car service,1,
simi valley car service,phrase,A2 · Simi car service,1,
luxury car service simi valley,phrase,A2 · Simi car service,1,
car service near me simi valley,phrase,A2 · Simi car service,2,
private car service simi valley,phrase,A2 · Simi car service,1,
simi valley airport transportation,phrase,A3 · Simi airport,1,
airport transportation simi valley,phrase,A3 · Simi airport,1,
airport car service simi valley,phrase,A3 · Simi airport,1,
airport shuttle simi valley,phrase,A3 · Simi airport,2,Vigilar — intención de precio bajo
simi valley airport ride,phrase,A3 · Simi airport,2,
black car service simi valley,phrase,A4 · Simi black car,1,
simi valley black car,phrase,A4 · Simi black car,1,
chauffeur service simi valley,phrase,A4 · Simi black car,1,
simi valley chauffeur,phrase,A4 · Simi black car,1,
executive car service simi valley,phrase,A4 · Simi black car,2,
suv service simi valley,phrase,A4 · Simi black car,2,
limo service simi valley,phrase,A4 · Simi black car,3,"Volumen alto pero atrae fiestas/bodas — landing debe aclarar que es SUV ejecutivo"
town car service simi valley,phrase,A4 · Simi black car,3,
moorpark to lax,phrase,A1 · Simi to LAX ruta,2,Moorpark se cubre desde esta campaña por cercanía
car service moorpark,phrase,A2 · Simi car service,2,
